"Title" "MeanRating"
"107" "3:10 to Yuma (1957)" 4
"108" "3:10 to Yuma (2007)" 4
"109" "30 Days of Night (2007)" 3
"110" "30 Minutes or Less (2011)" 3
"111" "300 (2007)" 4
"112" "300: Rise of an Empire (2014)" 2
"113" "3000 Miles to Graceland (2001)" 3
"114" "31 (2016)" 4
"115" "35 Up (1991)" 4
"116" "39 Steps, The (1935)" 4
"117" "4 Little Girls (1997)" 4
"118" "4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)" 4
"119" "40-Year-Old Virgin, The (2005)" 4
"120" "40 Days and 40 Nights (2002)" 3
"121" "400 Blows, The (Les quatre cents coups) (1959)" 4
"122" "42 (2013)" 4
"123" "42 Up (1998)" 4
"124" "42nd Street (1933)" 4
"125" "47 Ronin (2013)" 3
"126" "48 Hrs. (1982)" 4
"127" "49 Up (2005)" 4
"128" "5 Centimeters per Second (Byôsoku 5 senchimetoru) (2007)" 4
"129" "5 to 7 (2014)" 2
"130" "5,000 Fingers of Dr. T, The (1953)" 4
"131" "50 First Dates (2004)" 4
"132" "50/50 (2011)" 4
"133" "52 Pick-Up (1986)" 4
"134" "54 (1998)" 2
"135" "6 Days to Air: The Making of South Park (2011)" 4
"136" "61* (2001)" 5
"137" "6th Day, The (2000)" 3
"138" "6th Man, The (Sixth Man, The) (1997)" 2
"139" "7 Days in Hell (2015)" 4
"140" "7 Faces of Dr. Lao (1964)" 5
"141" "7th Voyage of Sinbad, The (1958)" 4
"142" "8 1 Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999)" 3
"143" "8 1/2 (81) (1963)" 4
"144" "8 Heads in a Duffel Bag (1997)" 3
"145" "8 Mile (2002)" 3
"146" "8 Seconds (1994)" 3
"147" "8 Women (2002)" 4
"148" "800 Bullets (800 Balas) (2002)" 2
"149" "84 Charing Cross Road (1987)" 4
"150" "8MM (1999)" 3
"151" "9 (2009)" 4
"152" "9 1/2 Weeks (Nine 1/2 Weeks) (1986)" 3
"153" "9/11 (2002)" 5
"154" "96 Minutes (2011)" 2
"155" "964 Pinocchio (1991)" 1
"156" "99 francs (2007)" 4
"157" "9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008)" 4
"158" "A-Team, The (2010)" 3
"159" "A Bad Moms Christmas (2017)" 4
"160" "A Christmas Story Live! (2017)" 2
"161" "A Cosmic Christmas (1977)" 4
"162" "A Detective Story (2003)" 5
"163" "A Dog's Purpose (2017)" 4
"164" "A Flintstones Christmas Carol (1994)" 5
"165" "A German Life (2016)" 3
"166" "A Home at the End of the World (2004)" 4
"167" "A Man Called Blade (1977)" 3
"168" "A Man from Boulevard des Capucines (1987)" 4
"169" "A Merry Friggin' Christmas (2014)" 2
"170" "A Midsummer Night's Dream (2016)" 4
"171" "A Million Ways to Die in the West (2014)" 3
"172" "A Most Wanted Man (2014)" 4
"173" "A nous la liberté (Freedom for Us) (1931)" 1
"174" "A Perfect Day (2015)" 5
"175" "A Pigeon Sat on a Branch Reflecting on Existence (2014)" 4
"176" "A Plasticine Crow (1981)" 5
"177" "A Quiet Place (2018)" 3
"178" "A Silent Voice (2016)" 4
"179" "A Story of Children and Film (2013)" 4
"180" "A Street Cat Named Bob (2016)" 4
"181" "A Very Murray Christmas (2015)" 2
"182" "A Walk in the Woods (2015)" 4
"183" "A Wrinkle in Time (2018)" 3
"184" "A.I. Artificial Intelligence (2001)" 3
"185" "Abandoned, The (2006)" 2
"186" "Abbott and Costello Meet Frankenstein (1948)" 4
"187" "ABCs of Death, The (2012)" 4
"188" "Abduction (2011)" 4
"189" "Abominable Dr. Phibes, The (1971)" 4
"190" "Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)" 4
"191" "About a Boy (2002)" 4
"192" "About Adam (2000)" 4
"193" "About Last Night (2014)" 2
"194" "About Last Night... (1986)" 3
"195" "About Schmidt (2002)" 3
"196" "About Time (2013)" 4
"197" "Above the Law (1988)" 2
"198" "Above the Rim (1994)" 2
"199" "Abraham Lincoln: Vampire Hunter (2012)" 3
"200" "Absence of Malice (1981)" 3
"201" "Absent-Minded Professor, The (1961)" 3
"202" "Absentia (2011)" 4
"203" "Absolute Power (1997)" 3
"204" "Absolutely Anything (2015)" 3
"205" "Abyss, The (1989)" 3
"206" "Accepted (2006)" 3
"207" "Accidental Spy, The (Dak miu mai shing) (2001)" 2
"208" "Accidental Tourist, The (1988)" 4
"209" "Accused, The (1988)" 4
"210" "Ace in the Hole (Big Carnival, The) (1951)" 3
"211" "Ace Ventura: Pet Detective (1994)" 3
"212" "Ace Ventura: When Nature Calls (1995)" 3
"213" "Aces: Iron Eagle III (1992)" 2
"214" "Acid House, The (1998)" 4
"215" "Across the Hall (2009)" 2
"216" "Across the Universe (2007)" 4
"217" "Act of Killing, The (2012)" 5
"218" "Act of Valor (2012)" 4
"219" "Action Jackson (1988)" 2
"220" "Adam's Apples (Adams abler) (2005)" 4
"221" "Adam's Rib (1949)" 5
"222" "Adam and Eve (National Lampoon's Adam & Eve) (2005)" 2
"223" "Adanggaman (2000)" 2
"224" "Adaptation (2002)" 4
"225" "Addams Family Reunion (1998)" 3
"226" "Addams Family Values (1993)" 3
"227" "Addams Family, The (1991)" 3
"228" "Addicted to Love (1997)" 3
"229" "Addiction, The (1995)" 2
"230" "Adjustment Bureau, The (2011)" 3
"231" "Admission (2013)" 3
"232" "Adventureland (2009)" 3
"233" "Adventures in Babysitting (1987)" 3
"234" "Adventures in Plymptoons! (2011)" 4
"235" "Adventures of Baron Munchausen, The (1988)" 4
"236" "Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)" 4
"237" "Adventures of Elmo in Grouchland, The (1999)" 2
"238" "Adventures of Ford Fairlane, The (1990)" 3
"239" "Adventures of Huck Finn, The (1993)" 2
"240" "Adventures of Ichabod and Mr. Toad, The (1949)" 3
"241" "Adventures of Mary-Kate and Ashley, The: The Case of the Christmas Caper (1995)" 3
"242" "Adventures of Milo and Otis, The (Koneko monogatari) (1986)" 4
"243" "Adventures of Mowgli: The Kidnapping (1968)" 4
"244" "Adventures of Pinocchio, The (1996)" 3
"245" "Adventures of Pluto Nash, The (2002)" 2
"246" "Adventures of Priscilla, Queen of the Desert, The (1994)" 4
"247" "Adventures of Robin Hood, The (1938)" 4
"248" "Adventures of Rocky and Bullwinkle, The (2000)" 2
"249" "Adventures of Sebastian Cole, The (1998)" 3
"250" "Adventures of Sharkboy and Lavagirl 3-D, The (2005)" 2
"251" "Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986)" 5
"252" "Adventures of Tintin, The (2011)" 4
"253" "Advise and Consent (1962)" 5
"254" "Aelita: The Queen of Mars (Aelita) (1924)" 4
"255" "Aeon Flux (2005)" 3
"256" "Affair of Love, An (Liaison pornographique, Une) (1999)" 5
"257" "Affair of the Necklace, The (2001)" 3
"258" "Affair to Remember, An (1957)" 4
"259" "Afflicted (2013)" 4
"260" "Affliction (1997)" 3
"261" "Afonya (1975)" 4
"262" "Africa: The Serengeti (1994)" 4
"263" "African Cats (2011)" 2
"264" "African Queen, The (1951)" 4
"265" "Afro Samurai (2007)" 2
"266" "Afro Samurai: Resurrection (2009)" 2
"267" "After Earth (2013)" 1
"268" "After Hours (1985)" 4
"269" "After Life (Wandafuru raifu) (1998)" 4
"270" "After the Fox (Caccia alla volpe) (1966)" 3
"271" "After the Sunset (2004)" 4
"272" "After the Thin Man (1936)" 3
"273" "After the Wedding (Efter brylluppet) (2006)" 4
"274" "Afterglow (1997)" 4
"275" "Against All Odds (1984)" 2
"276" "Against the Ropes (2004)" 2
"277" "Age of Innocence, The (1993)" 4
"278" "Agent Cody Banks (2003)" 2
"279" "Agent Cody Banks 2: Destination London (2004)" 4
"280" "Agnes of God (1985)" 4
"281" "Agony and the Ecstasy, The (1965)" 4
"282" "Agora (2009)" 4
"283" "Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)" 4
"284" "Aileen: Life and Death of a Serial Killer (2003)" 4
"285" "Air America (1990)" 3
"286" "Air Bud (1997)" 2
"287" "Air Bud: Golden Receiver (1998)" 2
"288" "Air Force One (1997)" 3
"289" "Air I Breathe, The (2007)" 3
"290" "Air Up There, The (1994)" 2
"291" "Airborne (1993)" 2
"292" "Airheads (1994)" 3
"293" "Airplane II: The Sequel (1982)" 3
"294" "Airplane! (1980)" 4
"295" "Airport '77 (1977)" 3
"296" "Airport (1970)" 2
"297" "Airport 1975 (1974)" 4
"298" "Akeelah and the Bee (2006)" 4
"299" "Akira (1988)" 4
"300" "Akira Kurosawa's Dreams (Dreams) (1990)" 4
"301" "Aladdin (1992)" 4
"302" "Aladdin and the King of Thieves (1996)" 3
"303" "Alamo, The (1960)" 3
"304" "Alan Partridge: Alpha Papa (2013)" 4
"305" "Alaska (1996)" 4
"306" "Alaska: Spirit of the Wild (1997)" 4
"307" "Albatross (2011)" 2
"308" "Albino Alligator (1996)" 2
"309" "Alesha Popovich and Tugarin the Dragon (2004)" 5
"310" "Alex and Emma (2003)" 2
"311" "Alex Cross (2012)" 2
"312" "Alexander (2004)" 2
"313" "Alexander Nevsky (Aleksandr Nevskiy) (1938)" 4
"314" "Alfie (1966)" 3
"315" "Alfie (2004)" 2
"316" "Ali (2001)" 3
"317" "Ali G Indahouse (2002)" 3
"318" "Ali Wong: Baby Cobra (2016)" 4
"319" "Ali: Fear Eats the Soul (Angst essen Seele auf) (1974)" 4
"320" "Alias Betty (Betty Fisher et autres histoires) (2001)" 2
"321" "Alice (1990)" 3
"322" "Alice (2009)" 4
"323" "Alice (Neco z Alenky) (1988)" 4
"324" "Alice Adams (1935)" 4
"325" "Alice Doesn't Live Here Anymore (1974)" 4
"326" "Alice in Wonderland (1933)" 4
"327" "Alice in Wonderland (1951)" 3
"328" "Alice in Wonderland (2010)" 3
"329" "Alice Through the Looking Glass (2016)" 2
"330" "Alien (1979)" 4
"331" "Alien Contamination (1980)" 5
"332" "Alien from L.A. (1988)" 4
"333" "Alien Nation (1988)" 3
"334" "Alien: Covenant (2017)" 3
"335" "Alien: Resurrection (1997)" 3
"336" "Alien3 (a.k.a. Alien 3) (1992)" 3
"337" "Aliens (1986)" 4
"338" "Alive (1993)" 3
"339" "All-Star Superman (2011)" 4
"340" "All About Eve (1950)" 4
"341" "All About Lily Chou-Chou (Riri Shushu no subete) (2001)" 3
"342" "All About My Mother (Todo sobre mi madre) (1999)" 4
"343" "All About the Benjamins (2002)" 2
"344" "All Dogs Christmas Carol, An (1998)" 4
"345" "All Dogs Go to Heaven (1989)" 3
"346" "All Dogs Go to Heaven 2 (1996)" 3
"347" "All Good Things (2010)" 4
"348" "All is Bright (2013)" 2
"349" "All Is Lost (2013)" 4
"350" "All of Me (1984)" 2
"351" "All or Nothing (2002)" 4
"352" "All Over the Guy (2001)" 3
"353" "All Quiet on the Western Front (1930)" 4
"354" "All Roads Lead to Rome (2016)" 2
"355" "All That Heaven Allows (1955)" 4
"356" "All That Jazz (1979)" 4
"357" "All the Boys Love Mandy Lane (2006)" 3
"358" "All the King's Men (1949)" 4
"359" "All the King's Men (2006)" 3
"360" "All the President's Men (1976)" 4
"361" "All the Pretty Horses (2000)" 2
"362" "All the Real Girls (2003)" 4
"363" "All the Right Moves (1983)" 2
"364" "All the Vermeers in New York (1990)" 5
"365" "All This, and Heaven Too (1940)" 4
"366" "All Watched Over by Machines of Loving Grace (2011)" 4
"367" "All Yours (2016)" 5
"368" "Allan Quatermain and the Lost City of Gold (1987)" 2
"369" "Allegro non troppo (1977)" 4
"370" "Alles Inklusive (2014)" 4
"371" "Alligator (1980)" 2
"372" "Allnighter, The (1987)" 2
"373" "Almost an Angel (1990)" 2
"374" "Almost Famous (2000)" 4
"375" "Almost Heroes (1998)" 2
"376" "Aloha (2015)" 0
"377" "Alone in the Dark (2005)" 0
"378" "Alone in the Dark II (2008)" 4
"379" "Along Came a Spider (2001)" 3
"380" "Along Came Polly (2004)" 3
"381" "Alpha (2018)" 4
"382" "Alpha and Omega 3: The Great Wolf Games (2014)" 4
"383" "Alpha Dog (2007)" 3
"384" "Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)" 4
"385" "Altered (2006)" 3
"386" "Altered States (1980)" 4
"387" "Alvarez Kelly (1966)" 3
"388" "Alvin and the Chipmunks (2007)" 2
"389" "Alvin and the Chipmunks: Chipwrecked (2011)" 1
"390" "Alvin and the Chipmunks: The Squeakquel (2009)" 3
"391" "Always (1989)" 3
"392" "Always Watching: A Marble Hornets Story (2015)" 2
"393" "Amadeus (1984)" 4
"394" "Amanda Knox (2016)" 4
"395" "Amarcord (1973)" 4
"396" "Amateur (1994)" 2
"397" "Amazing Grace (2006)" 3
"398" "Amazing Grace and Chuck (1987)" 4
"399" "Amazing Panda Adventure, The (1995)" 3
"400" "Amazing Spider-Man, The (2012)" 3
"401" "Amazing Transparent Man, The (1960)" 4
"402" "Amazon Women on the Moon (1987)" 4
"403" "Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)" 4
"404" "Amen. (2002)" 4
"405" "Amer (2009)" 0
"406" "America's Sweethearts (2001)" 3
"407" "American Astronaut, The (2001)" 2
"408" "American Beauty (1999)" 4
"409" "American Buffalo (1996)" 2
"410" "American Carol, An (2008)" 2
"411" "American Dreamz (2006)" 3
"412" "American Drug War: The Last White Hope (2007)" 3
"413" "American Fable (2017)" 2
"414" "American Flyers (1985)" 4
"415" "American Friend, The (Amerikanische Freund, Der) (1977)" 5
"416" "American Gangster (2007)" 4
"417" "American Gigolo (1980)" 3
"418" "American Graffiti (1973)" 4
"419" "American Grindhouse (2010)" 4
"420" "American Hardcore (2006)" 4
"421" "American Haunting, An (2005)" 2
"422" "American Heist (2015)" 2
"423" "American History X (1998)" 4
"424" "American Hustle (2013)" 3
"425" "American in Paris, An (1951)" 4
"426" "American Made (2017)" 4
"427" "American Me (1992)" 2
"428" "American Movie (1999)" 4
"429" "American Ninja (1985)" 2
"430" "American Outlaws (2001)" 2
"431" "American Pie (1999)" 3
"432" "American Pie 2 (2001)" 3
"433" "American Pie Presents Beta House (American Pie 6: Beta House) (2007)" 3
"434" "American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006)" 1
"435" "American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005)" 2
"436" "American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009)" 2
"437" "American Pop (1981)" 4
"438" "American President, The (1995)" 4
"439" "American Psycho (2000)" 4
"440" "American Psycho II: All American Girl (2002)" 2
"441" "American Reunion (American Pie 4) (2012)" 3
"442" "American Sniper (2014)" 4
"443" "American Splendor (2003)" 4
"444" "American Tail, An (1986)" 3
"445" "American Tail: Fievel Goes West, An (1991)" 3
"446" "American Ultra (2015)" 3
"447" "American Wedding (American Pie 3) (2003)" 3
"448" "American Werewolf in London, An (1981)" 3
"449" "American Werewolf in Paris, An (1997)" 2
"450" "American, The (2010)" 3
"451" "American: The Bill Hicks Story (2009)" 4
"452" "Americanization of Emily, The (1964)" 4
"453" "Americathon (1979)" 2
"454" "Amistad (1997)" 4
"455" "Amityville 1992: It's About Time (1992)" 2
"456" "Amityville 3-D (1983)" 2
"457" "Amityville Curse, The (1990)" 1
"458" "Amityville Horror, The (1979)" 3
"459" "Amityville Horror, The (2005)" 2
"460" "Amityville II: The Possession (1982)" 1
"461" "Amityville: A New Generation (1993)" 1
"462" "Amityville: Dollhouse (1996)" 1
"463" "Amores Perros (Love's a Bitch) (2000)" 4
"464" "Amos & Andrew (1993)" 2
"465" "Amy's O (a.k.a. Amy's Orgasm) (2001)" 4
"466" "Amy (2015)" 4
"467" "An Amazing Couple (2002)" 4
"468" "Anacleto: Agente secreto (2015)" 4
"469" "Anaconda (1997)" 2
"470" "Anaconda: The Offspring (2008)" 0
"471" "Anacondas: The Hunt for the Blood Orchid (2004)" 2
"472" "Analyze That (2002)" 3
"473" "Analyze This (1999)" 3
"474" "Anarchist Cookbook, The (2002)" 4
"475" "Anastasia (1956)" 4
"476" "Anastasia (1997)" 3
"477" "Anatomy of a Murder (1959)" 4
"478" "Anchorman 2: The Legend Continues (2013)" 3
"479" "Anchorman: The Legend of Ron Burgundy (2004)" 4
"480" "Anchors Aweigh (1945)" 3
"481" "And God Created Woman (Et Dieu... créa la femme) (1956)" 4
"482" "And Now... Ladies and Gentlemen... (2002)" 4
"483" "And So It Goes (2014)" 2
"484" "And Starring Pancho Villa as Himself (2003)" 4
"485" "And the Band Played On (1993)" 3
"486" "And the Ship Sails On (E la nave va) (1983)" 4
"487" "And Then There Were None (1945)" 4
"488" "And Your Mother Too (Y tu mamá también) (2001)" 4
"489" "Andalusian Dog, An (Chien andalou, Un) (1929)" 4
"490" "Andre (1994)" 2
"491" "Andrei Rublev (Andrey Rublyov) (1969)" 4
"492" "Andrew Dice Clay: Dice Rules (1991)" 4
"493" "Android (1982)" 4
"494" "Andromeda Strain, The (1971)" 4
"495" "Angel's Egg (Tenshi no tamago) (1985)" 3
"496" "Angel-A (2005)" 4
"497" "Angel at My Table, An (1990)" 4
"498" "Angel Baby (1995)" 3
"499" "Angel Eyes (2001)" 2
"500" "Angel Heart (1987)" 3
"501" "Angela's Ashes (1999)" 3
"502" "Angels' Share, The (2012)" 4
"503" "Angels & Demons (2009)" 3
"504" "Angels and Insects (1995)" 4
"505" "Angels in the Outfield (1994)" 2
"506" "Angels with Dirty Faces (1938)" 4
"507" "Anger Management (2003)" 3
"508" "Angie (1994)" 2
"509" "Angriest Man in Brooklyn, The (2014)" 4
"510" "Angry Red Planet, The (1959)" 4
"511" "Angst  (1983)" 4
"512" "Angus (1995)" 3
"513" "Angus, Thongs and Perfect Snogging (2008)" 2
"514" "Animal Crackers (1930)" 4
"515" "Animal Factory (2000)" 2
"516" "Animal Farm (1954)" 1
"517" "Animal House (1978)" 4
"518" "Animal, The (2001)" 2
"519" "Animals are Beautiful People (1974)" 5
"520" "Animatrix, The (2003)" 4
"521" "Anna and the King (1999)" 4
"522" "Anna Christie (1930)" 4
"523" "Anna Karenina (1935)" 4
"524" "Anna Karenina (1997)" 4
"525" "Anna Karenina (2012)" 3
"526" "Annabelle (2014)" 3
"527" "Annabelle: Creation (2017)" 4
"528" "Annapolis (2006)" 3
"529" "Anne Frank Remembered (1995)" 4
"530" "Anne of Green Gables (1985)" 4
"531" "Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987)" 5
"532" "Anne of the Thousand Days (1969)" 4
"533" "Annie (1982)" 3
"534" "Annie Get Your Gun (1950)" 2
"535" "Annie Hall (1977)" 4
"536" "Annihilation (2018)" 4
"537" "Anniversary Party, The (2001)" 4
"538" "anohana: The Flower We Saw That Day - The Movie (2013)" 3
"539" "Anomalisa (2015)" 3
"540" "Another 48 Hrs. (1990)" 3
"541" "Another Cinderella Story (2008)" 2
"542" "Another Earth (2011)" 4
"543" "Another Gay Movie (2006)" 4
"544" "Another Stakeout (1993)" 3
"545" "Another Thin Man (1939)" 4
"546" "Another Woman (1988)" 4
"547" "Ant-Man (2015)" 4
"548" "Ant-Man and the Wasp (2018)" 4
"549" "Ant Bully, The (2006)" 3
"550" "Anthony Adverse (1936)" 3
"551" "Anti-Social (2015)" 2
"552" "Antichrist (2009)" 4
"553" "Antitrust (2001)" 4
"554" "Antonia's Line (Antonia) (1995)" 4
"555" "Antonio Gaudí (1985)" 4
"556" "Antwone Fisher (2002)" 4
"557" "Antz (1998)" 3
"558" "Anvil! The Story of Anvil (2008)" 4
"559" "Any Given Sunday (1999)" 3
"560" "Any Which Way You Can (1980)" 2
"561" "Anything Else (2003)" 3
"562" "Anything for Her (Pour elle) (2008)" 2
"563" "Anything for Love (2016)" 2
"564" "Anywhere But Here (1999)" 2
"565" "Apartment, The (1960)" 4
"566" "Apartment, The (Appartement, L') (1996)" 4
"567" "Apocalypse Now (1979)" 4
"568" "Apocalypto (2006)" 4
"569" "Apollo 13 (1995)" 4
"570" "Apollo 18 (2011)" 2
"571" "Apostle, The (1997)" 3
"572" "Appaloosa (2008)" 3
"573" "Apple Dumpling Gang Rides Again, The (1979)" 3
"574" "Apple Dumpling Gang, The (1975)" 3
"575" "Apple, The (Sib) (1998)" 4
"576" "Applesauce (2015)" 4
"577" "Appleseed (Appurushîdo) (2004)" 4
"578" "April Fool's Day (1986)" 2
"579" "April Morning (1988)" 2
"580" "Apt Pupil (1998)" 3
"581" "Aqua Teen Hunger Force Colon Movie Film for Theaters (2007)" 3
"582" "Aquamarine (2006)" 2
"583" "Arachnophobia (1990)" 3
"584" "Ararat (2002)" 4
"585" "Are We Done Yet? (2007)" 2
"586" "Are We There Yet? (2005)" 0
"587" "Are You Scared? (2006)" 4
"588" "Argo (2012)" 4
"589" "Ari Shaffir: Double Negative (2017)" 4
"590" "Ariel (1988)" 3
"591" "Aristocats, The (1970)" 3
"592" "Aristocrats, The (2005)" 3
"593" "Arizona Dream (1993)" 4
"594" "Arlington Road (1999)" 3
"595" "Armageddon (1998)" 3
"596" "Armed and Dangerous (1986)" 3
"597" "Armour of God (Long xiong hu di) (1987)" 3
"598" "Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991)" 3
"599" "Army of Darkness (1993)" 4
"600" "Army of Shadows (L'armée des ombres) (1969)" 4
"601" "Around the World in 80 Days (1956)" 4
"602" "Around the World in 80 Days (2004)" 2
"603" "ARQ (2016)" 4
"604" "Arrival (2016)" 4
"605" "Arrival, The (1996)" 3
"606" "Arsenic and Old Lace (1944)" 4
"607" "Art of Getting By, The (2011)" 3
"608" "Art of the Steal, The (2009)" 4
"609" "Art of the Steal, The (2013)" 3
"610" "Art of War, The (2000)" 2
"611" "Art School Confidential (2006)" 3
"612" "Artemisia (1997)" 4
"613" "Arthur (1981)" 3
"614" "Arthur (2011)" 3
"615" "Arthur 2: On the Rocks (1988)" 2
"616" "Arthur Christmas (2011)" 0
"617" "As Above, So Below (2014)" 3
"618" "As Good as It Gets (1997)" 4
"619" "As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty (2000)" 4
"620" "As You Like It (2006)" 3
"621" "Ascent, The (Voskhozhdeniye) (1977)" 4
"622" "Ashby (2015)" 3
"623" "Ashes and Diamonds (Popiól i diament) (1958)" 4
"624" "Ashes of Time (Dung che sai duk) (1994)" 4
"625" "Ask the Dust (2006)" 4
"626" "Aspen Extreme (1993)" 4
"627" "Asphalt Jungle, The (1950)" 4
"628" "Asphyx, The (1973)" 4
"629" "Assassin's Creed (2016)" 2
"630" "Assassination (1987)" 4
"631" "Assassination of a High School President (2008)" 1
"632" "Assassination of Jesse James by the Coward Robert Ford, The (2007)" 4
"633" "Assassination of Richard Nixon, The (2004)" 4
"634" "Assassination Tango (2002)" 2
"635" "Assassins (1995)" 3
"636" "Assault on Precinct 13 (1976)" 4
"637" "Assault on Precinct 13 (2005)" 3
"638" "Assembly (Ji jie hao) (2007)" 4
"639" "Assignment, The (1997)" 5
"640" "Asterix & Obelix vs. Caesar (Astérix et Obélix contre César) (1999)" 4
"641" "Asterix & Obelix: God Save Britannia (Astérix et Obélix: Au service de Sa Majesté) (2012)" 2
"642" "Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre) (2002)" 4
"643" "Asterix and Cleopatra (Astérix et Cléopâtre) (1968)" 4
"644" "Asterix and the Vikings (Astérix et les Vikings) (2006)" 5
